tweets,labels
but hey means no war sp why are they doing that for,1
Lock screen and Home screen 😊😄😍 ❤💋 -_-,0
ok you can ignore me too I love it when you always do this to me,1
Shocking. Kansas jobs plummet in latest disaster for Sam Brownback’s tax-cut strategy,1
"September 22, 2015 at 12:49AM via",0
Live a with these easy techniques.,0
"Yeah, hehe. Guess that's what I get for clubbing all night. ;D",1
Funny Animals 204 (22 pict) Visit the website,0
"It hasn't happened in 32 years and won't for 18 more: On Sunday, a total lunar eclipse will coincide with a …",0
We all can't live in TX and defend someone who hires to kill an older beloved African lion. Im pretty jealous,1
Take the Bill Nye Science Challenge,0
what? There's another way to tweet without a phone? 😏,1
happy with either for this project must be,1
Yes! but it's lol,1
makes you smarter via,1
Funny Animals 197 (47 pict) Visit the website,0
Been stuck in traffic since 7:15 I'm in south sac I gotta go to north sac.. I started at 8 today lol,0
are you sure not for and too?,0
More productive and soul warming pursuits must be encouraged among people especially youth to combat these addictions,0
really glad learned to store more personal information from the hack,1
upload of my son..,0
I swear I'm not streaming the British Open at work today.,1
"nah we're getting relegated, Padoin caused AIDS, Allegri killed Cecil the Lion and Mandzukic sank the Titanic",1
"Woah, NIU is projected to be 3rd I. The west division? But they're the best G5 team.",1
Nothing gets me pumped like a little Walk the Moon!,1
Kim Davis Gets An Award For Breaking The Law To Discriminate Against Gay People The Kentucky...,0
Emily: *plays song* Me: GRAVEYARD DANCING!!! Emily: *looks up* Me: I know my drugs,0
"in the of age ""just look-it-up""&gt; Gr8Read by what r missing",0
funny 9 (60 pict) &amp;nbsp; Man visits India and ...,0
I think it's hilarious that the US Embassy won't let me in while my fiancé applies for a visa. Proud to be a citizen.,1
Visa operations unlikely in NSW: Scipione,0
doesn't have any awesum offers like The latter's buy 10rs pck n get free air is really cool.,1
"So excited that September 8th is my birthday, which happens to be the 1st day of school.",1
Hard-left UK pol who compared US to ISIS poised to be next Labor leader: Hard-left British...,0
Republican Rhetoric Highlights America's Negative Relationship With Muslims: Multiple GOP candidates...,0
Valuable lead compounds for targeting the system.,0
eppsie's photo sometimes it just makes sense. 😂,1
Buzzing for my Tina close tonight!,1
Stop looking for happiness outside of yourself. Adyashanti,0
he's taking this really well...,1
Eyeliner and skinny jeans = totes femmed out 😉,1
Trump Calls Boehner's Resignation 'A Big Decision... A Great Decision': GOP frontrunner Donald...,0
"""Checking Out in the Fast Lane 2",0
"It's the Top 10...so, will this include swimsuits &amp; talent competitions?",1
It's clear: the new PAT rule has teeth,0
A trainer with a good body? NO WAY!,1
Thank God there are so many RTs because a celebrity paid attention days later!,1
New driver in the No2 car,1
"He will win the Hispanic vote! They love him! They're ""very energetic people""",1
Woohoo 2018! Kellogg Announces Plans To Ditch Artificial Ingredients,1
"Good idea GOP... Take on the 14th amendment. That one sucks anyway. Plus, Americans strongly support getting rid of it!",1
I know! It's such a wonderful and considerate thing when they... Oh...,1
First Draft: Rand Paul to Run Ad During Debate Calling Himself ‘a Real Conservative’,0
"Be sarcastic, makes you smarter: Study",1
"wait, Obama tried to “repeal the Bill of Rights”?! Why isn’t this on every news source?! Cover up?!",1
ARGGHH GRR U TEXTED 'OMW!' LIKE 3 HOURS AGO U BETTER AT LEAST STOP &amp; GET ME A SODA U LATE BITCH,0
Love when people just sits down and looks at me.,1
What a waste of a trade it was to get When will he contribute?,1
It's 8:15 and the train I am on is sitting at city hall. Was supposed to be at 8th &amp; Mkt 3 minutes ago.,0
The outcome of a match that size was came down to 'personnel error'? Like...what?,1
Technology Trumps Quality Teaching for Parents in the Northeast &amp; West,0
funny pictures 11 (45 pict) A man makes a ...,0
"Wow BU, thanks for the magnet. So kind and generous.",1
Can't wait till coverage starts so I can watch Tiger and only Tiger for 18 holes,1
Hello nice to see you again...,1
Black People in Russia,0
Former Cops Now Try Their Hand at Peddling Pot,0
We come in to All members and followers. More to...,0
Was hoping you had Guinness* on tap. . Must be his little brother!,1
Can't wait for services this morning!,0
"Begala thinks this email thing is silly, so it must be, right?",1
Cocreation at its best.Burger King peace offer to McDonald's: 'Let's make a McWhopper',0
Just as I suspected. Dry like a desert.,1
"yes, cuz multiplying isnt increasing",1
"Rui Hai International Logistics, the company whose warehouses were hit by the deadly blast...",0
then i have a problem with music and its conflation with death! BAN IT! my point: your conflating unrelated things.,1
Sure- that makes sense. next we'll be asked to focus on all the good has done for the region.,1
"""In war nobody wins""",0
aren't you canadian? it's impossible for you to be mean lol,1
Photo: 😂👍🏼 issue 15 feat by,0
there are different branches to our government? Since when?,1
you missed off the hashtag,1
Tropical Storm Erika - for more -&gt;,0
✯❣ guitar pick handmade,0
of course they can't that WM face a lot of discrimination for just being born white.,1
"Today's Cartoon, American version.",0
"Yeah, Jamaica is good. Jamaica is very good.",0
My social justice class will be great.,1
Texas Man Gets 10 Years Probation For Death Of Transgender Woman,0
Maybe I am ?,1
"didn't miss much. Cutler being cutler, oline sucks, sky falling",1
Politicians will b elected on the basis of min qualification.,1
"is a continuing process, removing doubt, eroding apathy, building unity – please watch&amp;retweet -",0
Because of this groundbreaking study my Apple Watch will not be turned on again until I'm certain it's safe.,1
What another lovely summers day 😐 ☔️ I feel like I've been asleep and woke up in October!,1
Find complete coverage of Week,0
Good to see Lackey get the loss he deserved. How can you give up one run and expect your team to win?,1
Tweeted 4 hours ago: $ES_F will NEVER get through 1926.50 tonight..... must eat....,1
USC's Mark Jackson hired as Villanova athletic director,0
Waiting for Kay 😕 taking ages!! Hurry up!! 😝😝😝,0
Here Are 5 Ways to Help Labor VIA,0
"go &amp; hav a kip Callum, don't want u grumpy, need u at your best !",1
Violence Once Again Mars New York's West Indian Day Parade,0
Watching Trump's speech but mainly cause there's a girl in the lower right corner of the TV screen who's kinda cute,0
Have unused in details where 2 get rid of it,0
Thanks for asking me! haha but nope mine do not look like that,1
Drug resistance in cancer patients linked to…,0
Yup. Moses story is totally legit...,1
Thanks I love it when buses never show up. I really do love being late to work. 😡😡,1
Forever looking 16 when I shave,1
- &amp; Hail Board Member In | via,0
"A4: When creating a topical sermon series, I don't choose a topic. The topic chooses me. Just kidding. Well, kind of.",1
WOW I LOVE HIGHSCHOOL FOOTBALL,1
Speaking of new research suggests that may help boost Not that we needed a reason...,1
Clinton Fatigue - The Ward via This is funny.,0
I'm in a good mood btw no i really am,1
"""Insulting us""? Because, of course, is KNOWN for his civility",1
I'm glad Carson was included.,1
"To clarify: Clearly, one must carry a pistol to properly shop there.",1
Thanks I wasn't sure.,1
Twice in 1 week I was offered for payment. This is so,0
"As an Atheist, I do not praise Satan. I praise Cthulhu, Nyarlahotep and Dagon.",1
glad to see you answer tweets,1
Who is shocked? Brooks an asshole. What a surprise.,1
Didn't love it at commuting time this morning bringing the A30 speed down!!! for work,0
"""I've never heard of this obscure lesbian TV show even though it trended on twitter for 3 months straight""",1
your totally right! Hasn't matured one bit!!!! we dont want another payton manning.,1
I just love having my days off during the week!!,1
"I don't have a solution, but I do admire the problem.",1
Celtic fans party in Amsterdam as Dutch police take no chances over a repeat of 2013 riots,0
Gay Teen Worried He Might Be Christian : submitted by fakeshits[link] [comment],0
that song is DA BEST :P,1
Analysis: Xi big-money pledges underpin Chinese diplomacy: ... at charity ev...,0
I love starting my day off with a good cry in my car on the drive to work.,1
"Wow, the Red Line packed and overcrowded on a Monday! How extraordinary",1
Rocky's 201 You won't know the true nature of a as long as the MSM gets to ask the questions.,0
currently there are 71 listed indigenous players in AFL but only one is being booed. Yep racist for sure,1
I 💙 St Ives in September,0
RT If Is The Lowest Form Of Wit - How Come Only Intelligent People Understand It? via,1
"Came back to find estranged sis-in-law, her 3 sons, daughter and daughter's hubby and toddler. Whoa. Thot they've disowned us?!",1
"Yeah, cant imagine my son would exaggerate 200 from 55 - ha",1
SM is great at allowing people that make poor choices the ability to get a win in consistently stupid props. His charity is lovely,1
How poverty effects in Listen on 'What UK can do to promote peaceful and inclusive societies,0
influence in this past week has been a lesson in for us all...,1
Doctors Are Prescribing Powerful Antipsychotics to Many People With No Mental Illness,0
Left the house only about 30 minutes ago and already two people I don't even know have pissed me off. It's gonna be a good day,1
A friend asks if some days I ever feel like being a little mean to people. *Snort* More like a lot mean every day.,1
America needs more guns!,1
is in love goes easy on him 😍❤️,1
I don't know Zayn...very nice I think u're putting yourself in a bad possition because u have Perrie's tattoo,1
RT missed what exactly about McFarland?,1
Dude lighten up and,1
"Beautiful video! ""Let There Be on Earth"" children's choir sings for at 9/11 memorial....",0
"Friday - getting an email...""OUR EMAIL IS DOWN"" guess smoke signals weren't an option",1
May and be with you always.,0
"Hopes to Start a Fight in Lying Corrupt call Activist ""Undecided again?",0
Rwanda: City Dwellers Should Embrace Change -,0
should've never cut Tyrod Taylor. Defense can't stop anybody. 0-16 this year.,1
So. Wait. Do people like Joe on,1
maybe should have added an emoji or to the original tweet😊,1
Our understanding is that are familiar with the concept of - The,1
Jackie Bradley Jr. Is an offensive BEAST.,1
FDA issues warning about tramadol use in children --&gt;,0
2/2 because (insert life history here) I love hearing all about it really I do!,1
"Financial market education, stocks, futures and forex trading books and ecourses.",0
I'm in no hurry to get ready for work today and I have to be there in 30mins ⌛️,0
"A Farewell Interview with Lieutenant General Sir James Dutton KCB, CBE of Watch:",0
Not makes me want to do,0
"well now that the keeper league expert and final, infallible adjudicator has spoken...",1
idk how to use it✌🏼,0
Interesting infographic of right vs left wing from,0
The Bible is the Foundation of Human History The Basis for the 7 Day Week,0
10 Countries With the World's Highest and Lowest Pot Prices.,0
Milky Way’s black hole shows signs of increased chatter -,0
I think i have the best schedule in the history of all schedules 😍 🍻 bottoms up for final year,1
"Brave teen left in wheelchair after taking ecstasy says: ""This is what a... via",0
I Wonder why she didn't if he was being honest,1
Can we get more guns into the hands of the mentally ill like Wayne Lapierre wants?,1
well that's a total shock there ...,1
And here was I about to throw in the towel for radio as a whole,1
"mmhm. It's ""Normal"" I'm sure.",1
Misfortune cookie : submitted by QuincyDental[link] [comment],0
Register today for the Regional Day -,0
Trump Vs. Fiorina: A Look at Who's the Better CEO: Donald Trump and Carly Fiorina… |,0
DEADDICTION DRUGS AND MEDICINES Powerpoint Presentations -,0
here like us on FB,0
set to change the way the industries develop ?,0
Do the Rich Pay Their Fair Share?,0
who well are often good at reading people's,1
Do you believe angels protect us? Angel on Board,0
"surprised? Yeah, me too. As forthcoming as the have been at communicating details thus far? SMH",1
Just found an old bottle of white Zinfandel while cleaning my fridge. It's 8:00 am somewhere right?,1
Post My Kitchen 󾌳,0
"Be you, whatever that may be.#crazy",1
"Amanda Peterson Dies of Accidental Prescription Drug Overdose: Amanda Peterson, star of 1987...",0
"hahaha Meanwhile, back at the White House...",0
Parties take shots with unique error pages,0
One look at the Smith big heads and will be totally thrown off his game tonight,1
"PSA: UA will be utilizing boats, instead of buses as its pub. transit this week.",1
Like whenever you hear a stat about people who smoke weed do you think it's only people who got caught by police? No man. Surveys. cw,0
30 Life Changing Lessons to Learn from Thich Nhat Hahn,0
didnt need higher english anyway lol💔💔💔💔💔💔💔💔,1
and I'm such a big fan of our system.,1
Do the same at least ... ............................................,1
Aren't we just a ray of sunshine in a bowl full of happy,1
Thanks to everyone who signed me up to receive email updates from every presidential campaign.,1
Go Cruz...educate these fools like Kasich...they think Iran can be trusted...we can't even trust Obama to share the side deals,0
"Witch-hunts and mob hysteria are good for everyone, and we should have more of that.",1
At least he can punt,1
Exhausted but can't sleep...wow I'm not used to that feeling at all!,1
I should start adding to certain posts. There are those who don't see the ironic juxtaposition between a link and a snarky comment.,1
Dear Seen mkt insanity lately? Thank you for taking $JPM $C $BAC $GS out of trading.,1
Hydro flask is finally making its way to the mainland 😂,0
How I've missed getting up at 4:15,1
Sorry I Still need to Know When Did America Stop Being Great?,0
New drugs to tackle 'problematic',0
Hey thx for this. Helps so much,1
My luck is so great,1
"watch gypsy sisters on TLC , best ever 😂😂😂",1
on the spiral of in,0
Which is the most peaceful country in the world?,0
You MUST tell me about your day.,1
I love how Big Brother has decided to stop showing diary room sessions before veto ceremonies,1
VIDEO: Millions moan that there's only one topic on Chinese TV: When there's (literally) only ...,0
How the Mormon Church tackles addiction | | | Drug Abuse,0
oh no the world is gonna end..,1
Kadji se prend pour Steph Curry... 0% a 3 points...,1
"""Become a reading warrior"" Andrea N Carr articles on feedly",0
you obviously missed the point.,1
Mizzou Will No Longer Let Medical Students Train At Planned Parenthood,0
I love being a female wow,1
My metrics are going to look Great today!!!,1
I would like to thank for making an eyelash curler that gives my lashes the perfect trim 😊,1
but it's Miami bro you know like turning up and showing up is so important lol.,1
very true but none of us can say we truly know the full story,0
"I know what I'm doing with my life. My are 3 now, they can handle the house. Right?",1
I just wanna thank whoever posted that pic of Oberyn vs The Mountain.,1
Just kidding. at 8 PST See you in 10,0
[Research] Caring may keep from trying and,0
Huge Network | Jamal Bryant ends campaign for Baltimore congressional seat,0
Giving a go because worked out so well for my viewing pleasure....,1
panachelogan: Android design …,0
Hotel Room Rates Skyrocket For Republican National Convention In Cleveland,0
Please be rude to those that love you.,1
no. These kids need to learn that they shouldn't be in the way of their parents fun at ball games.,1
"New Joint Chiefs chairman facing war, service challenges",0
This guy trying out:: This guy trying out: This guy trying out bike seats |,0
Poll Shows A Clinton-Trump Race Would Be A Close Call: An ABC News/Washington Post poll releas...,0
. and I really appreciate cold coffee after we get through the drive through &amp; can’t turn around.,1
Be nice to people on your way up- you may meet them on the way down!,0
Okagbare finishes last as Buhari demands swimming medals,0
Politicians will do anything to raise revenue and not to raise taxes 😀,1
I probably needed the tag there. 😀 I'm not sure I'd want a full 3-hour game. Maybe they don't want to hire editors.,1
"Evening there is in the re etc... You are if you want in, ""regards"" D 👉⌛️🌏✌️👍🔑🔓🌱",0
Can we just put this on Vh1 so they can make some $$?,1
"If I've learned anything, it's ""better to feel right, then to actually be right.""",1
Whaaaaa?! Anyone else NOT see that coming?!,1
wow great career move becoming his new new agent,1
"If you think that wearing glasses detracts from your appearance, think what this would do to you!",0
yes..its very nice to have. Don't you wish you were white too?,1
it's not a stance; it's infallible mathematical proof,1
Wow. Just my night.,1
•Ð what kind of should be upheld in a nation’s if ones are,0
With no Border Police the Melbourne crowd are going feral,1
Asthmatic US otter gets an inhaler: A wheezy sea otter in Seattle diagnosed with asthma receiv...,0
"Florida Man Drives Stolen Car To Meet Probation Officer (And Did We Mention He Had A Gun, Too?): ...",0
Love it when people leave me links trying to help me understand why feminism is bad &amp; that men are the only victims of sexism...,1
Emily Blunt regrets her U.S. citizenship after watching the first,0
"Haters gonna hate That's some writing right there. Yup, I can't handle that kind of depth in my music",1
Before It's Too Late,0
"now that the Phillies are the hottest team in baseball, should they be buyers at the trade deadline?",1
"Troy Anthony Davis received the death penalty, but James Holmes will not. Yeah, I'm going to sleep very well tonight...",1
An advantage of using our can be saved time. Enjoy your and do not bother about being or,0
Delivering Alpha ~ Alibaba and the Temple of Doom: A film by Hong Kong Harry.,0
Former police property clerk gets 2 years for stealing from evidence room,0
So glad to see the American Taxpayer will be footing the bill for someone who killed 20+ people and gets a nice life in prison.,1
"Very true! ""Worrying does not take away tomorrow's trouble, it takes away today's peace.""",0
"Two 24hr Tube strikes for Bank Hol wknd, what a surprise",1
It's a good thing I spent all that time making organic homemade baby food this morning.,1
DON'T LET THE FACTS OF MY TWEET GET IN THE WAY OF MY OPNION.,1
Hillary Clinton Comes Out Against Keystone XL Pipeline: Democratic pres...,0
Proof Of The Higgs Boson Is No Small Matter Apron:,0
"So often, the guy whose shortstop made a great play behind him leads off the bottom of the inning at the plate.",1
Video: Obama EO required Hillary to follow classification of originating agencies,0
"Mitchell, Weise, Gilbert. Or De La Rose, Emelin, Pateryn.",1
"Oh don't worry, I didn't wanna talk you today anyways.☺️",1
"Anderson .Paak &amp; Blended Babies Announce ""The Anderson .Paak EP""",0
C'mon Roman overcome those odds,1
"follow up on those cheese balls, not the worst thing I've ever eaten!",1
Sometimes I'm running to work. Sometimes I'm I'm never on time.,0
The 14 kinds of ‘late people.' Which kind of person are you? &gt;,0
"No,I'm not a . I'm in point out the obvious. I'm also in .😁",1
Because NJ teachers and schools are so horrible...,1
"You are deliberately aggravating struggling ppl and trying to increase incite instigate resentment, Good idea,",0
I've changed my mind…,0
Looking for a new opportunity? See our open training positions:,0
Starting my fifth year of college. I guess you could say I love this stuff.. Lol,1
"Of the top 10 drugs known to cause violence, 8 are",0
"Hey, Brownbackie, wouldn't you rather have federal $$$ being spent in KS than that comie nation of Cuba?",1
: Sep 2015 market growth explicit.,0
Palin: What Obama missed on his Alaska trip:,0
takes over “The Show”: NEW YORK — Stephen Colbert…,0
Los Angeles officials propose spending $100m on homelessness emergency -,0
VIDEO: Why is 'Prevent' so controversial?,0
hey... did you know that the Colts lost because they couldn't stop the run? It somehow got past me.,1
"if Bruce Jenner killed somebody and is convicted of it, is Caitlyn Jenner still a hero?",1
thanks for a wonder conference call.,1
"Yes, yes, yes, August 16, Christmas is almost here. Did you know Thanks to",1
Share Feel the Bern: Presidential hopeful Sanders takes on 'Late Show',0
Indianapolis Boy Shot by Driver Yelling Anti-Latino Slurs (VID) Mexicans targeted 3 shootings!,0
With record numbers of young people using heroin…,0
That didn't take long,1
"WHRO Education has many benefits for Franklin schools: They provide an educational portal, ...",0
Plan to Expedite Review of 'Breakthrough' Medical Devices just as for,0
Why does gotta be WHITE?!?,1
Longtime Impostor Who Inspired Sundance Film Pleads Guilty: Detroit-area man who made a career ...,0
Find your writing center …,0
Brazil has some serious issues...,0
Wait! The Tribe lost????,1
"""Yesterday you were hot, today you are cold. What's going on? Are you going through menopause?"" Best Co-worker ever.",1
Win this Fallout 4 Xbox One custom console from Bethesda,0
Always a good choice.,0
I'd expect a statement over any issue known to be causing widespread psychological harm,0
"Ontario teacher contract talks: What are the key issues? Money? Oh wait, class sizes.",1
Made to create 💯,0
Oh shit! We are gonna be relegated! Donny had the ball in the net but it was offside!,1
of course they are...,1
"What is faster Hot or cold? Hot, because you can catch a cold.",1
Chilling in the sun 🌞 with my choc 😆😎,0
&amp; host in Detroit. Check out the artists scheduled !! -,0
"JBJ what a show off, Hanley could have made that catch!",1
"Yeah, you should probably not attempt to regulate guns then. This letting nutters shoot people is working rather fine",1
Coworker: wow your hair is very curly. Me: wow thank you for pointing it out I have never realized it.,1
Social media is a fun outlet for and What side will you let out....,1
Was Bum Rushed In Da Undressing Room,0
You're right! Gay cake and criminal vandalism are the same issues,1
So I really want a M6. Contributions to my super awesome fun car fund are greatly appreciated!,1
"Canada in recession; PM Harper denies it as election looms: Unlike the U.S., it avoid...",0
Top trend on Twitter = Michigan football. And I can't watch it. Thanks and,1
Tried to argue with the manager but FAILED. Bleh claim mileage rm45 je.,1
Can't wait to see everyone first day of school pictures today.,1
Sad to see Abdoun leave,1
they are gonna find out I don't belong here,0
wasu is a promotion Ambassador of,0
Random on the drive home tonight...that was fun...now my nose is sore &amp; swollen plus are acting up...#loveit,1
was about to be charged up yesterday,0
Really Was That - The New York Times,0
Planned Parenthood accuses Fiorina of lying during debate: &lt;p&gt;Planned Par...,0
Don't miss the latest post about wearing on,0
Capcom thanks for RE 2 remake.. if your not gonna make new fresh ip. Then remake something other than RE. Like onimusha,1
"The only response to 'No shit, Sherlock' is 'F*** you Watson'.",1
Teach your and they will never have for,0
I just love coworkers who won't stop complaining about everything and everyone.,1
and lets trade our only closer for a guy with no major league experience!,1
"Which ""Teen Wolf"" Creature Are You?",0
NoiseNextDoor riff on another great in clipdash app,0
Nalini doesn’t know the rubber broke? Lucifer,0
"It's all good people. Blatter says he's ""clean and there is no corruption in football."" What a relief!",1
"BJP, NDA-ruled states dominate top five in ease of business: They say they got it right, but…",0
LIVE: Peaches For President on,0
Amy Klobuchar Wrote the “Lean In” of Political Memoirs,0
Isnt eat out all i need to know? Hyneman is the only thing i know.,1
"""Let them eat Quinoa!""",1
: Thank you very much Sir. My respect to you always !,0
♣❣ 3D Black coated metal A great and gift idea!,0
Didn't See this Coming,1
"crisis clearly no pay increment, teachers please just live to fight another day go back to class..",0
The world is quiet here.,0
Your Local Doppler Radar,0
❣❃ guitar pick handmade,0
"AKA Indy Devs want to buy ""luxury"" items... so greedy!",1
Won't somebody PLEASE think of the children!,1
Lets throw some more taxpayer money at it. That always helps.,1
"Buy used followers, they're cheaper!!",1
Why is there and not a,1
"When Allah wants to be good to someone, He tries him with some hardship....!",0
My husband just gave up on this boxing match. Ask a Q and wait for the blood. He's tapped out.,0
Holy effing dope boys Batman!!,0
"Lovin this song, 2 Time",0
"If you tweet your mixtape for 18 more times bruh, then I'm definitely gonna have to give it a listen.. 😒",1
Current mood - 😂,1
Fun fact: hockey is popular in Montreal. Thanks Canadian in front of us. Wouldn't have ever known.,1
Well the round about is working out swimmingly... That was an excellent idea.,1
what's this avatar you speak of? really don't care,1
"FREE LIMITED TIME, COP IT NOW!",0
I love back to school shopping 😴,1
Google takes on Apple with Android Pay,0
I love when parents judge they're own children &amp; push them 2 be more masculine even when they're 8 like good job 👏,1
Drugs effect on CVS PPT Slides -,0
"...only we hadn't made them play all those violent video games! Damnit, Colonial Marines seemed so WORTH IT at the time!",1
look omg im posting woohyun pictures im so unfaithful omg,1
"This attitude of ""I hear you but, i'm saying... "" it's a sign of narcissism which is a form of brain damage if you ask me",0
US considered nuking after 9/11 – German diplomat,0
Carjacker in Detroit says he only robs White people,0
Nothing beats being hungry at 1 in the morning and snacking on a carrot.,1
War does not determine who is right – only who is left.,1
"""If you can't beat them, arrange to have them beaten."" -George Carlin",0
War can never provide what peace can. It only brings about destruction. Let reign on our lands.,0
"No social obligation to those we send to war? Sounds about right, eh?",1
You Can't Always Get What You Want … …,0
Why Dennis Alexio's acting career never took off is beyond me Kickboxer Deleted Scene via,1
Friday nights: going over the Cost and Equity Method. Woooooo,1
Obama Benvenuto Pope Francis! - President Barack Obama greets Pope Francis upon his arrival at Andr...,0
"This Whk traffic is not cool in the morning,",0
I for one am shocked that a former Goldmanite will take a lead role in the Fed!,1
Colbert Fulfills Fan Request to Wear Wristband on The L...,0
giving my connecting seat to someone else for no reason. 👍🏽,1
Marvel should get the Deadpool rights back that way we get less childish jokes,1
In Punjab the source of funds of big parties is not unknown -&gt;,0
Tasty asshole? - for more -&gt;,0
WI 1848 Forward: :Dan -Our buggy moral code-explains,0
"No, lets not talk about risk… it scares me! :(",1
he's not as old and mature as you just yet...,1
This is Memphis 😍👌 🌅🌇,0
Race to replace Boehner expected to be another leadership vs. conservative caucus showdown,0
"Need action to stop violence against women who use &amp; address their specific health needs: Nukshi Naro,",0
So the 13th August is going to be a lovely experience. Cant wait.,1
Batman is simply NOT impressed.,1
"""You're a drug."" - Crimson &amp; Clover on ""Don't Look Down""",0
Love how after Mrs.Rempel was asked to have the decency to show respect for the candidates she promptly disregarded it,1
"Gee, what a surprise. Prove a Liberal is wrong/lying, they block u. Never saw that 1.",1
"Donald Trump, Kanye West, should Arny also be running for President at some point soon?",0
"New Multimedia Specialist in RI,",0
Big Surprise: Harvard Study Shows that Sarcasm is Actually Good for You,1
No im not standing here needing ur help. You can continue sitting behind the counter talking on ur cellphone.,1
"remember class, climbing a pole for work is a-ok so long as you have a penis and a hard hat",1
Tigers not Typical Buster &amp; ESPN hating on the Detroit,1
Ambassador Caroline Kennedy’s Use of Personal Email Faulted,0
Just a little something to make you laugh. Have a zen day. is good.,0
Funny pictures and quotes 172 (56 pict),0
§◔ symbol guitar pick,0
"""A Warning on China Seems Prescient"" via",0
"I don't always respond to bots, but when I do, it's because I have something smartass to say.",1
Andrew Luck's Beard vs. Ryan Fitzpatrick's Beard -- Who'd You Rather?!: It's a battle of the bea...,0
Painting the bedroom. If there's 2 things I love it's painting and moving,1
Hit that link n listen to DRUGS,0
So long Rick... The big tent circus has one less act.,0
Awesome! Great news America.,1
"God, You are my everything.",0
Anti-Chris Christie PAC Declares Mission Accomplished,0
One smile can't chanhe the world But yours changes mine..,1
Republican presidential candidate Perry suspends 2016 campaign,0
of COURSE it's raining on moving day - because this move was gonna be sooooo easy as it was,1
I think everyone appreciates the use of PEDs! :D,1
what's the worst is layin at home all day after you've graduated... 😄,1
you missed the in my response. Your tweet shows a complete misunderstanding of the issues transgender people face daily,1
Trade deadline draws nigh. I hope the do something... sheesh.,1
"I would describe the view from our balcony as ""moderate"".",1
probably. New uniforms for the first game?,1
US Army to open elite Ranger School to all genders - Al Jazeera America,0
they are making sure it doesn't get worse before the playoffs.....,1
"Uh-oh, doesn't sound good for Indy Uber and Lyft drivers, trying to make an honest living.",1
Syracuse University Pulls Stadium Kiss Cam Over Sexual Assault Concerns: Syracuse University d...,0
"Folks think it's revolutionary to call black women bitches, hoes and skanks. Let's name a holiday after NWA! Whoo hoo",1
If endorses then he must be a (in my best tone),1
DMC injured in training camp. I did not see that coming.,1
parnell such a great pitcher.,1
People who understands well are often good at people's mind. They that the other has something else in,1
AVOP-173 To 2 Inserts!Pies ...,0
Yessss great point! Gave it a right good go,1
Introducing LA GOV another Look for him in the Happy Hour,0
Is nobody ever allowed to get along in DC?!,0
lol white people and their endangered animals amirite? Hunters provide them with income!,1
funny quotes and pictures 273 (33 pict),0
Tehran Asks U.S. to Release 19 Iranian Citizens,0
Finally able to watch GOP debate.,0
My cocos were a little too heavy,1
"A superb late tonight, always best when it keeps to basic heartfelt human stories.",0
North Korea Says It Has Restarted Nuclear Bomb Fuel Plants: The announcement will worsen ties b...,0
Apparently Sanborn Caseys now sells half-baked pizza,1
BlackLivesMatter is playing with fire (Juan Williams/The Hill): Juan Willia...,0
"people /piːp(ə)l/📣 noun 1. Something you can't never find, when you need them.",1
I tweeted too soon 🙊 speak of need to build a safe and holistic ecosystem for,0
Rich white middle aged men can never be corrupt,1
Homosexuals and their moral corruptions...am I right?,1
These beautiful young ladies decided to follow Jesus &lt;3,0
[NewsUpdate] Kicked Syrian migrant offered football role in Madrid,0
For the love of cloud :),0
"I am earning the respect of my crew! They gave me the sweet nickname, ""Cool Arrow""! Must be my swift and precise nature.",1
"Well, it could be worse - they could have regressed to 1959 tech ... or hammer and chisel - so baby steps",1
"i love when people take my glasses and say: ""oh u really don't see a shit"" they're just lovely",1
People should be so honored to talk to me. I'm over here spreading knowledge that no one wanted to know.,1
Waiting at the lab for bloodwork: so awesome to have a guy leaning over my shoulder the entire time.,1
"Thanks for resetting this preference, - thanks a lot.",1
"What is this....one of those teen sex comedies from the 80s? I mean, come on!!",1
Donald Has Lost Between $1 and $6 Billion Over His Business Career,0
“ to smuggle and into prisons is growing,0
"This is so true!!! ・・・ For more quotes,…",1
Great goal by ibe but what was the keeper doing!,1
Everyone's favorite topic! :D :-),1
‘Migrants being discriminated against’,0
How to to with ? All info here:,0
"Well, I am shocked. Madeline. Who would've thought. 😒",1
I'm sure glad you listened to the public and quit wasting our money,1
"I'm gonna sleep great tonight, like last night.",1
"BBC enters Vladimir Putin's media war: To counter Kremlin crackdown, the ...",0
"A grumpy sheriff is not something you want to tangle with, Miz Mike Bridge Beyond Betrayal",0
When we will get a,0
"Wow, check out the awesome on this new and expensive road layout in Peterborough",1
Fighting with friends is great. 💩,1
The Latest Scourge in Drug Abuse,0
when Starbucks forgets about you.... 😐,0
Now there are 4 OFs so of course Gattis still starts in LF with Carter's hot bat staying in the lineup.,1
"No Jeb, Your Brother Did Not Keep Us ‘Safe’",0
I wonder why he is not going with his last name on there,1
"Hey Edinburgh, any festivals happening soon?",1
What? Obama listen to 200 retired high ranking officers who spent their lives defending our country?,1
If you or a loved one is t or call us at 1-800-513-5423 for help with and we...,0
I seriously love getting a migraine. It's like an instant hangover without any tasty booze involved,1
A character is what he does 😏,0
"Debauchery. 💀💀💀💀💀💀💀😝🎀😭What's a ""pose""???",1
Damn it feel like da morning just gettin up n shit,0
The dangers of blogging and Buddhism -,0
"Nobody walks to the library anyways, one just uses Google.",1
