tweets,pair_tweets,labels
"Enjoy the bars and vineyards✌🏻
Make sure to send postcards to the people dying in your local hospitals.  I’m sure they’ll be glad you’re not bored anymore","If you’re going to bars and vineyards right now, just keep in mind the people who are dying in hospitals from COVID. Your entertainment is not worth their lives. ",0
"these two girls are on the beach in lawn chairs, i love shoobies",I would say that shoobies are clueless and don't know how to properly spend time at the beach. ,0
Does anyone not know Prince Harry got engaged? I don’t think there’s been enough in the news about it.,I think we've all heard enough about Harry and Meghan's engagement.,0
"Non sarcastically I would say ""I hate it when people try and get in between me and my friends"" ",Love it wen people try and stop my friends seeing me! Looooolll.,1
love waking up in a panic 🥴🥴,I do not like waking up in a panic,0
"It’s so amazing how people forget you exist until they want something from you :,)",It is terrible how people forget you exist until they want something from you. ,0
Update: they’ve finally closed the campus which means I wasted my day going in and waiting on lectures 🙃 https://t.co/kBTOqNpX3Z,"Although the uni has now closed the campus, I was able to get a lot of work done having to go in",0
Hearing Kendrick Perkins refer to Alec Burks as Alecs Burk like he’s attorneys general &gt;&gt;&gt;&gt;,I would say I ahte him,0
Only joking. Keep it real. HR professionals don’t have a life. ,@MarkHendyHR Only joking... keep it real. HR professionals have a life too... 🤔,1
No start to the race? This doesn't look good. ,Well. That went well. #BelgianGP,1
"@GeoffreyBrock6 @RevRichardColes Do you really believe  that? I'd put more faith in the giant pumpkin. Wait a minute, he is the giant pumpkin!",Johnson.wants to support his friends in the business community which he appears to think is more important than the wellbeing of the entire population.,0
"“I’m working on Labor Day, I am obviously not having a great day as I could be off like you are but I’m not.”","how you gonna ask me how i’m doing “on this fine labor day” while you’re off, as I’m ringing you out, on labor day.
how do you think i am 💀",1
babe stop i’m about to gleek,this can go two ways. babe stop im about to cum OR babe babe stop im about to cry,0
imma still vote for vermin supreme this presidential election 😤,I will not be voting for Vermin Supreme this upcoming presidential election ,0
Throwback to when I answered the phone at work with “thank you for calling Courtney! My name is principal” wow I love myself,"I could have said ""I am an idiot"" or something along those lines instead. ",0
@JacobWohlReport Do I need to aquire a wife before this happens or will I be assigned one?,A lot of people don't have a wife.,0
"Thanks @Tesco for not informing me that my click and collect order had been cancelled when my account says it's ready to collect my partner has had to travel unnecessarily to Stafford and we still don't have our shopping, good diet I guess having to wait for my 26th delivery slot https://t.co/xq9oXEkw8o",Tesco have cancelled my order with no warning. please could i have an explanation and compensation for this.  ,0
"Why would you say something like that? It almost sounds the same as if you said ""etc"" ",I’m still confused about DaBaby’s point? Like would you have said “everybody without cancer out your lighters up”??? like what sir https://t.co/EqcbAEkIJM,1
I hate how difficult it is to shop for plus size clothes.,I love when you go to shop for plus size clothing and it's always just shoved under women's and it doesn't have any subcategories so u just have to wade thru everything like a pig being thrown slop,1
it's really funny how rich people think that they aren't held to the same personal hygeine standards as normal people,we used to make fun of rich men for using 3in1 turns out they were never using anything at all 🤮,1
We should have spent the money we wasted killing and bombing people in Afghanistan (only to lose the war) on social programs here at home instead. ,"Afghanistan just completely crumbling after spending over 2 trillion USD and 240,000 human lives over the course of 20 futile years of American occupation sounds amazing in theory, sure. 
But how are we gonna pay for it? What’s next, chocolate milk for everybody?",1
we love when the power goes out at 6:30 in the morning on a wednesday https://t.co/BBIQ7ZYS3x,I get annoyed when my power goes out randomly.,0
yeah your girl is fine but does she pass out while giving blood,Passing out while giving blood is not attractive,0
I am not happy that I didn't get tickets to the Swiftogeddan event when I should be there instead of most people who bought tickets.,I was only in Taylor Swift’s top 0.10% of listeners on Spotify but last year but yeah totally sound that Swiftogeddan in Glasgow is sold out,1
I would say he’s being miserable and not that his a bundle of laughs. ,@ShareZone5 @StockpickB You are a right bundle of laughs to take to the pictures Draft!,1
this is my 3rd time taking a biology course and it’s so EASY wow i love biology so much i’m so glad i’m so good at this subject.,"""This is my 3rd time taking the same biology course, I am not good at this subject at all""",0
"""Thinking about how no one has a crush on me""",thinking about how no one is obsessed with me 💔,1
I would probably word it as a question:  Do you think that using Go Fund Me to ask for money to pay bills is a form of socialism?,"Are GoFundMe accounts a form of socialism?  I don’t have enough money to pay my bills, so let me create an account an ask for money to help pay my bills. ??",1
"Got locked out of Twitter for saying it’s embarrassing to be an arsenal fan. That’s not okay, but people can be abusive and racist and nothing?!? Okay! 🤣🙄","I don’t appreciate being banned for using the word embarrasing, when others can be racist/homophobic and it’s okay ",0
I wish that the person who stole my laptop would be arrested ,When your @Apple delivery gets stolen by a UK Mail delivery driver and the police know who it is but I still don’t get taken seriously🙃🙃🙃,1
"Me: You know, for someone with chronic anxiety I think I'm dealing with this pandemic quite well.

Also me: Wow, I forgot how good a freshly shaved undercut feels!",I'm really struggling during this pandemic and have decided to shave my undercut back in because I'm not doing well mentally.,0
"first day of work, and i’ve already cried on the job 👍","i would say the same thing and use a sad emoji like 😭,😢, or 😥",0
Yes,my computer does this fun thing now where it shakes in a way that exactly replicates what happens to my vision when i forget my meds so that’s exciting !,1
I love how men know they have a baby on the way in one month and they decide to go out and buy a brand new mustang wow,"I dont like how my childs father bought a brand new mustang a month before she was born, because we could not fit her carseat in the back seat of the car, making it unsafe to drive with the baby. ",0
virgos are leos in a vest,virgos act like leos,0
This is awkward... @hollywills is a Diet Coke ambassador 🤯. #ThisMorning,I probably wouldn’t have said it ,0
"@DanielIngolfur @The_Timbrodini @ViQueen55 @tedcruz I know, right? He even wanted poor people to be healthy, because he was basically a fucking communist. What a hippie.","Jesus wanted everyone to be cared for, because he was all about loving and caring for your fellow man.",0
"love island is ending, law school is starting again…summer is really over","love island is over and law school starts soon, but summer isn’t over yet.",0
“I’m pretty sure Sajid Javid does not care that you do or don’t like him”,@MatthewStadlen @sajidjavid Thank you so much for your insightful thoughts- I’m sure @sajidjavid is overjoyed that you “quite like him”,1
I find people who claim to be vegetarian but still eat fish annoying. ,I'm A VeGeTaRiAN BuT I eAt FiSh 🙃🙃🙃,1
Remember when there was only giveaways? I do not miss that.,remember when everyone’s feeds were just retweeted giveaways looool those were the days,1
My living room feels really lively now. I’m recklessly sipping tea absorbing choons #TaeSup,"In spite of the fact lockdown means I cannot go to a live gig, this stream brings me joy in private",0
@SkySportsBoxing if i think you would have a chance against fury i mean its easy for some broken bodied old boy to beat the best in the world,Haye as a competitive fight against fury which is a 50-50 fight and could go either way,0
I hate headaches and I have one.,Headaches that last all day nonstop🥰😍,1
Stop complaining about peoples individual gender experiences,Every time you complain about neopronouns or xenogenders we add five more,1
Today is the last day of pride month.,I can't believe today is the last day we can be gay.,1
"So now that it's not getting banned, should I download TikTok?",Is it really worth it to have a tiktok account?,0
"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that.","Twitter has reset the ""topics you might be interested in"". It's awful - all the topics I've clicked ""ignore"" on are coming back to the ""topics..."" section when I scroll any profile or TL, and it's so become a very frustrating experience.",0
"Serious question: if I nick a car and elope to Gretna Green to shut my family up, how long will I do in prison? Can I finish my PhD there? Think I've got a plan, lads...","I like the idea of stealing a car in order to elope, but can't drive and it's illegal - so I wouldn't do that. ",0
cold queso is so much better than warm queso https://t.co/5TaMe4aSO6,Cold queso is gross and warm queso is so much better.,0
tex-mex restaurants that stop serving breakfast tacos after 10:30/11 am are the reason i have trust issues,I don't like when Tex-Mex restaurants stop serving breakfast tacos after 10:30/11 am.,0
tanning in this heat is difficult ,tanning in this heat is an extreme sport,1
"“If I could have changed anything about my childhood I would have never watched spongebob”

-no one","""I don't think anyone regrets watching Spongebob as a child""",0
"I asked my husband to buy dog poo bags when he went out earlier and they'd sold out. So instead of going to another shop, he bought bin bags. So now I still can't clean up after the dog but if I happen to buy a donkey and need to clean up after that, I'm sorted.",I asked my husband to buy dog poo bags but the shop had run out so he bought bin bags instead.  ,0
Just rediscovered that my nose I always in my field of vision which is making it difficult to focus on my assigned readings. ,Just rediscovered that my nose is always in my field of vision so I will unfortunately be dropping out as I cannot continue my assigned readings in peace,1
Everyone who studies law watched suits in sixthform/college.,Maybe if I watched suits in year 12 I’d be studying law rn,1
"Wish I was the bitch that Elijah hewson fucking hated, sad :(",The same without the ‘:(‘ at the end ,0
The say so song was good after the first 5 listens but after that it got annoying,okay but like the say so song ain’t that bad. I’m unironically jam to it lmao,1
I do not enjoy the main character of this book.,2 minutes into the book and I already hate the main character. Lovely,1
Who's ready for monsoon storms allllll weekend?!?!,There are going to be monsoon storms all weekend. Is anyone ready for them?,0
can't i have nice weather for my birthday even if we're in lockdown?,They really said you can’t have nice weather AND no lockdown for your bday this year huh,1
“I don’t really like partying” Oh is that why you’ve gone to parties twice in the last week? Because you just can’t stand it? Makes complete sense.,"I don't understand why you go out to so many parties, if you don't like parties.",0
Why is my lovelife so dead?,Actually considering applying for the undateables,1
"I hate that in order to get time off of work, I have to do something drastic like getting surgery",love living in a capitalist society where i look forward to getting a surgery where i’m legit GETTING AN INTERNAL BODY PART REMOVED bc it means i’ll get a few days off from work xoxo,1
"Oh boy, a song I'm gonna play on repeat until it makes me physically ill to hear it! Thanks FOB","""I can't stop listening to this new song from FOB""",0
Funny how my phone starts turning into a piece of shit when the new iPhone comes out 🤔,Iphones are always bad when the new update comes out.,0
I swear this triller event is run by teenagers,The Triller boxing event seems to be run very poorly by inexperienced people,0
"""People should share this and fill it out with fake info.""","It would be a real shame if people shared this around and filled it with fake info. People should definitely not do that 😉
https://t.co/Px7dYqjh3I",1
does ur dad hate you for no reason or are you normal?,I feel like my dad hates me,0
people with clear skin are more comfortable in that area of their life,do people with clear skin feel accomplished?? superior??? comfortable in their own skin???? what’s that like lmfao,1
@ray_harren @tkinsonn buy really rare pokemon card,"Buy something that is of value, either stocks or other long-term investments",0
I hate waking up to the fire alarm at 7 am.,absolutely love waking up to the fire alarm at 7 am 😍,1
What kind of sins have y’all been committing for God to punish us with this kinda weather...,God are you punishing us by creating such bad weather?,0
Shout out James Boswell  #unibowl,James Boswell is a waste man.,0
wouldn’t it be cool if i could spontaneously combust,I'm frustrated and I don't want to deal with things right now.,0
I'm not entirely sure you -can- say the same thing non-sarcastically. I suppose... 'Constantly calling for lower targets is ridiculous.',@GainzyXBT Actually I've extrapolated based on the last daily candle and it turns out BTC will be sub-zero by December. The math doesn't lie.,1
Stop gatekeeping retirement living communities. I am mentally and spiritually ready to move in.,Getting old is hard. I miss not having to worry about everything.,0
"On a scale from 1 to 10 how deeply was your childhood influenced by the Hannah Montana 2: Meet Miley Cyrus double album?

This is for research purposes.",Who else remembers the Hannah Montana 2: Meet Miley Cyrus double album?,0
@MollyJongFast I think it should be allowed for customer service workers to squirt water into their face like how they do sometimes to train pets,The customer service worker sprayed customers with water like one does to train pets.,0
I never received help from my dad so I don’t need any help now .,Ain’t never really had a daddy so I’ll never really need one 🤷🏾‍♀️,1
I am going to enjoy my holiday as I have worked lots of additional hours this year and I am owed the time the off.,Thank you to @OrchardMead for organising pizza and ice cream! It was a lovely end of year gesture 😁💕 Happy holidays everyone - time to collect our time owed in lieu! 😅 #summerholidays https://t.co/324jzGSElj,1
When you order books from the bookstore a week in advance and then you wait three weeks for ONE book and when you finally email them about it they reply and say they cancelled your order 😍🥰,"I would take out “when,” and insert more displeased looking emojis at the end or maybe have none at all",0
do i like him or is his hair just curly??,People with curly hair are attractive. ,0
just your casual reminder that #AllBirthdaysMatter and I can’t stress this enough✨fuck trump✨,"I would say ""Donald Trump's  birthday does not deserve to be celebrated"".",0
The Red Sox probably wish they could play the Orioles all season. ,If I were the Red Sox I would simply play the Orioles more,1
That solos was awful,wait what the fuck that solo yolo is mad?,1
"@AlexShawESPN @robwishart @GNev2 Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way it’s a disgrace and not what we should be promoting to the kids.",I don’t think he drank 11 beers every hour,0
Mental shoot out ends. Silent pause. Sirens start 🚨 Always so perfectly timed 🚔🚓👍🏽 #LineOfDuty #LineofDuty6 #LOD6 #LOD,The sirens always start just as the gunfire finishes ,0
wow i love only ever buying gray and striped shirts,I wish I didn't just buy gray and striped shirts.,0
"Wow. Liam Neeson is coming across as a rational man,isn't he!!?","Just because he had a family member attacked by a black person, doesn't give Liam Neeson the right to kill a random person of colour.",0
"New levels of desperation: sleep is now truly insignificant to me. In fact, it’s a downright annoyance.","New levels of desperation: my lack of sleep is not a joke, in fact it’s a downright annoyance ",0
I reckon I could have put that in the net Morelos sir,That goal should have been easy for Morelos!,0
"You know what makes a 15 minute wait for the bus even better, rum leaking all over the contents of your bag 🙈😫",I've already been waiting 15 minutes for the bus and now I've spilled rum all over my bag.,0
"""Screw the kid who brought a pineapple to homecoming and threw it around""",shoutout to the kid who brought a pineapple to hc and threw it around #madrespect,1
too many dudes are wearing birks with socks on. grow up. get the fucking toes out man.,"At the end and, 'Im the guy wearing socks"".",0
i would rather be outside reed timmers car in f3 tornado winds than go to work today,I do not want to go to work today at all.,0
I hate when I make food and then don't eat it. ,I like making food and then not eating it to assert my dominance,1
We were taught the incorrect subjects in our science lessons.,"me: revises cells + other general biology stuff
edexcel: ""i want a fit summer bod, get them to tell me how i get one""
#EdexcelBiology #Gcses2018",1
Most business majors are straight people,Being a business major is legal conversion therapy and must be stopped,1
"We decided to record on the evening of the 6th, which was unfortunate because at the same time some significant events were happening that we probably would have talked about.","Ok, so @bytereview and I decided to record on the evening of the 6th, just as absolutely nothing newsworthy was happening! Perfect timing as always, to go over some of the best ITSBUPs of 2020 - and how we're settling into 2021! Listen: https://t.co/oaPLwrtcHP https://t.co/za3EHuqcWh",1
I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking,"I used google images to reverse search my selfie, and all of the results were asian women. It was amusing and I was surprised, because I thought the technology would show white women too, since I can be white-passing. ",0
How is someone so good still not with a team?,"@barcacentre Unemployed and lazy that Messi guy 😂

(I'm being sarcastic guys, I'm warning you lol)",1
"There is a contrast between the word ""overthinking"" and how everything in life really does not take a toll on you.
",Overthinking everything in life really takes a toll on you,1
"Sooo... @adamlevine was that ""Nice!"" and double fist pump for the show or @shakira s ass that you were checking out? @NBCTheVoice","""Adam Levine sure was checking out Shakira's ass last night""",0
Can’t wait to be back at uni so I can order more shoes and clothes without my mum telling me off x,When I go to uni Im going to spend more ,0
"""I really don't like that I am still getting as frustrated over websites crashing when I'm buying tickets as I did when I was younger""",i’m sure 14 year old me would be delighted to know that 22 year old me is still getting stressed over websites crashing for bands🙃,1
sure you have a paying job but are you a Silver Chick Fil A Rewards member? 😤🙄🧐,People are out here working paying jobs and I'm just a Chick File A silver rewards member,0
phobias cannot be chosen and choosing to not be scared is not an option for genuine phobias,this just in: phobias CAN be chosen and you CAN get rid of them by just not being scared! 🥰 /s,1
"College is really difficult, expensive, tiring, and I often question if a degree is worth the stress. ",The only thing I got from college is a caffeine addiction,1
"For a good laugh, follow me over on @vsheltonsports to see my best attempt at covering sports business news for class this semester.","I would say ""I have zero interest in sports, so definitely regretting the decision to sign up for a sports business class that's making me tweet about sports every day...""",0
thats it im packing my things and moving to italy see u all in a month xo,"I'm so done with everyone, I wish I could move away to Italy.",0
"@MailOnline Another misogynistic, homophobic rapper.. how shocking!",Many rappers seem to be homophobic.,0
Just because I am craving a pickle doesn't mean I'm pregnant. ,Woke up at 3 am with a MAD craving for pickles. I guess that means I'm expecting!,1
who thinks me and sam should start a band called 'teeth at midnight' 🦷🌙,In an alternate universe me and sam would have been in a band called teeth at midnight,0
"thank you kind person that stole my ATM card, you must have known I wanted to sit at the bank all day.. half hour and still waiting #mondays",Someone stole my bank card and now I have to sit and wait in the bank all day unhappily.,0
People who complain about others being mean to trump are hippocrits,"You’re all sickos for being mean to Trump so much for the tolerant left 🙄

anyways George Floyd had it coming",1
i love siriusxm. siriusxm is my friend,I hate SiriusXM,0
James Boswell is a waste man.,Shout out James Boswell  #unibowl,1
"@Showmasters are basically thieves, quoting it’s in the small print so you can’t have a refund.
Dates moved from summer, to a 4 hour slot on a Friday evening in November which is about as much use as a telescopic sight on a knife.#WeWantARefund @UKConsumerRight",Your refund policy wasn’t very helpful at all.,0
Boehner sucks for not clapping for gender pay equality.,Boehner not clapping for gender pay equality. COOL.,1
I started the year completely dependent on someone else and ended it entirely dependent on myself for the first time in my life,safe to say my life is a lot better https://t.co/pE5isUMOpk https://t.co/K2hep49TcF,1
i’ve had more interesting conversations w my wall but alright,"The conversations I have with you are as boring as talking to a wall, which you can't even do. ",0
Brother's off on a night out and I've gone to bed cos I feel exhausted and sick.... excellent 👍🏻,It’s not fair how I’m unwell yet my brother can head out on a night out ,0
"@adi_jord agreed, this is ridiculous, gotta cop a pair","I agree, I want them too",0
Not pleased the delivery lady spilt coffee on my parcel ,Cheers @ASOS delivery lady for dropping my parcel off covered in coffee 😒👌🏼 https://t.co/UzY4gJS9DE,1
I would have said it ruined my Friday when I realised that I had been fooled by a Shatner impersonator. ,@WilliamShatner Mr Shatner whilst you were sleeping you asked me to join Facebook messenger and then after a polite conversation you then offered me gold necklaces and a singed (sic) tee-shirt - you made my Friday night sir... just awaiting your instructions so I can wire the money...,1
"Let me guess, it has to be Charlotte Tilbury makeup. And if by chance you do take it off, use Charlotte Tilbury skincare https://t.co/0c2IfIpy8l",She just wants you to use her make-up and skincare.,0
So late for Sim and I to have our weekly life update!,Great time for sim and I to have our weekly life update.... 🌛🌜🐨 (closest thing to an owl) 💤💤💤💤💤😴,1
"Today my pop-pop told me I was not ""forced"" to go to college. That's not true.",Today my pop-pop told me I was not “forced” to go to college 🙃 okay sure sureeee,1
I was very annoyed today in my first class of the year because I sat next to someone who had very loud breaths.,Sitting next to the world's loudest mouth-breather on the first day of class did a really good job of demystifying grad school for me today,1
I was one of them once,Bristol is absolutely littered with students!! Glad I never was one🙈,1
"always remember thank your Alexa, just in case the AI take over one day",There is no need to thank AI devices,0
@ my apartment complex: please pick a time later in the day to mow the lawn. 8 am = cranky residents.,Thank you to my apartment complex for consistently cutting the grass at 8 am every Thursday for ~5 hours. It’s definitely not super obnoxious or bothersome ☺️☺️,1
Let's listen to doctors instead of this random guy online.,"@DylanPetit17 @jaredj5 Let's listen to Dylan Petit over actually doctors, biologists and epidemiologists. 🙄",1
I’m bored in lockdown which has now resulted in me buying jigsaws like an old woman ,"Day 55 of Lockdown. Finally bought some jigsaw puzzles. Absolutely cannot wait for them to come, highlight of my day (maybe even year)",1
"The flavors aren't good, they all just taste like sugar and artificial flavoring",Man PepsiCo loves to add 750g of sugar to a mixture of their existing flavors of sodas and call it a new flavor of dew or Pepsi...,1
A diet of pain killers is not healthy or balanced ,"Have the most balanced diet, a healthy balance of codeine, panadol and ibuprofen....",1
I'm so nervous I hope I'll forget how to play to avoid being onstage.,it's too bad i forgot how to play my clarinet so close to my recital,1
This book makes me feel like I don't really know how to read.,If you ever wanted to know what it feels like to have dyslexia I would recommend the book House of Leaves.,1
I am frustrated with the new football graphics because I am uninterested in player injuries and it reminds me of anatomy class.,Football is turning into an anatomy lesson. COOL,1
"While we are celebrating pride, we should also understand that we are denying non-binary people rights because of prejudices of the Supreme Court.","Queer marriage is not allowed because it doesn't follow the ""age-old customs, rituals, practices, culturla ethos and societal values"", but all cis-men can commit infidelity with no consequences. Happy fuckin Pride people 🙃 #SupremeCourtofIndia",1
Sleep? What’s that... I’ve never heard of it?,I haven't been able to sleep all night,0
Do the #Hokies really have to play 5 against 6 tonight? Come on stripes,Why is the ref helping the other team?,0
The face that 'black and white thinking' is considered a mental disorder symptom and yet remains a pillar of American culture is hypocritical.,"I find it hilarious that ‘black and white’ or ‘all or nothing’ thinking is considered a cognitive distortion and is a symptom of several disorders, and yet it remains a pillar of American (and Western) culture.

It’s almost like…. our culture is toxic 🤔",1
Worked out 2 days in a row. I am quite literally the epitome of health and fitness,"i've worked out for two days in a row, i feel healthy.",0
@goldfishbabe101 crispy all day every day over here ✌🏻,"""dry but honestly not mad about it.""",0
yes i have little interest in doing things that applies to me,I am depressed and anxious,0
💕 tip for baking bread! 🍞🥐🥖 you can use the yeast in your dog's ears to substitute active dry yeast or instant yeast in a pinch! 💕,It would be gross to use the yeast in your dog's ears for baking bread.,0
I watch women's beach volleyball for the hot women.,watching olympic womens beach volleyball for the plot,1
Most people have security cameras for protection. Ours acts as a DVR,The events that happen around our house while we are not here can be very entertaining ,0
“Watching Degrassi again “,rewatching degrassi for the millionth time,1
@kidcuisine98 Based confidence and believing in proper eye contact-pilled!,"I would say ""Yeah, I never get why so people have the issue of maintaining eye contact, it's relatively easy for me to do.""",0
"I can't believe the same man ended up sitting next to me on the bus three times in a row. He stinks, so I'm unlucky.",you would think the odds of me sitting next to the exact same stinky man three bus trips in a row is highly unlikely. alas I seem to be a lucky gal,1
Stop putting beomsil on my timeline. ,next person that puts beomsil on my tl has to deal w me crying on the floor,1
"I’m sorry, but if you message me on Instagram wanting me to help you sell your fit tea and wraps, I’m leaving you on read. 🙃",I will not answer you if you message me about fit teas or wraps. I’m leaving you on read. I’m not sorry about it. ,0
I would say Ted Cruz is an asshole and doesn’t actually care about people/babies/fetuses. He just wants to wage a war on women and keep the patriarchy in power.  ,"@VolphanCarol @littlewhitty @mysticalmanatee I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",1
you would think the odds of me sitting next to the exact same stinky man three bus trips in a row is highly unlikely. alas I seem to be a lucky gal,"I can't believe the same man ended up sitting next to me on the bus three times in a row. He stinks, so I'm unlucky.",0
"Day 3. Luggage arrived, thanks @AirFranceFR. Non random Hungarian underwear. Talk delivered. Science sated. #metaxa http://t.co/6KPjLezQOF",After three days of incompetence from Air France my luggage has finally arrived. No thanks to Air France.,0
I would say I ahte him,Hearing Kendrick Perkins refer to Alec Burks as Alecs Burk like he’s attorneys general &gt;&gt;&gt;&gt;,1
Wow great album from Kanye. v John Cage 4’43 vibes x,Kanye needs to actually release his album. ,0
"I won 3 cents on HQ trivia, that is not enough to buy anything at all",Just won 3 cents on HQ words...early retirement here I come 😍,1
"North Dakota: *has one decent week of weather*
Mother Nature: NOW I SHALL CAST OUT THE SUN AND BRING THE COLDEST OF RAINS UPON THY SUPER, DUPER FLAT LAND.",North Dakota had a nice week of weather followed by a rainy day.,0
im glad we finally have a party in opposition who are committed to taking the government to task for not making mistakes fast enough,"I would say something like ""it is supposed to be the opposition party's job to oppose the government, especially at a time when the government seems to be doing almost everything wrong. However, it seems that the opposition party's only complaint is that the government is applying their bad policy inefficiently, not that the policy is bad"".",0
Kanye needs to actually release his album. ,Wow great album from Kanye. v John Cage 4’43 vibes x,1
Happy birthday to me. I got pinged and can't leave the house 🥰🤡,Unhappy birthday to me ,0
Ed Sheeran should not be the opening act to the launch of the NFL season.,"Nothing can be further from the kickoff of the NFL season than a pre-game performance by Ed Sheeran.

Nothing against him but he just doesn't inspire me to watch football.

#Football #NFL #Weak #TestosteroneDeficiency https://t.co/JTI2qgSxUq",1
Wtf is a Justin Herbert,"""I don't know who Justin Herbert is""",0
who needs an alarm when u can have the low rumbling voice of a stranger to wake u up in the morning 🥰,I wish I hadn't been woken up by a stranger talking loudly. ,0
Rubbing my tears into my face is part of my skincare routine lol,I rub my tears into my face to make them go away.,0
I have been eating a lot of Kitkats lately! ,Pregnant and constantly crave KitKats. I literally have been living off of them for the past 4 months.  @KitKat_US,1
The sirens always start just as the gunfire finishes ,Mental shoot out ends. Silent pause. Sirens start 🚨 Always so perfectly timed 🚔🚓👍🏽 #LineOfDuty #LineofDuty6 #LOD6 #LOD,1
Perfect way to end a 2+ hour @SunCountryAir deley: getting stuck on the tarmack at @mspairport waiting to go to a gate for almost an hour 🙄,"I am super unhappy that after a 2+ hour @SunCountryAir deley I have been stuck on the tarmack at 
@mspairport waiting to go to a gate for almost an hour.",0
so many people pressed that italy won sorry eurovision belongs to the bisexuals now x #Eurovision,eurovision belongs to everyone! ,0
I’m in Canada so like Happy 4rth?,Still celebrating the Fourth of July in Canada!,0
I'm hoping my social work class party is going to involve tequila and chip and salsa 💃🍹🎉👨,I hope my school of social work party is fun and not boring. ,0
"So our landlord just brought in new sofas which is lovely but in the process broke a table, someone’s cup and spilt tea on the carpet and left saying “you should probably clean that up” thanks Darren 🖕🏼","Exact same tweet but at the end, saying ""fuck you Darren""",0
Wizkid is not the king lol,"Wizkid is the king, ok lol",1
Should I wear my red and blue pants ,"""Should I wear my lime green pants?"" dad its 4th of july...",1
This didn't age well.,@Mike_Fabricant This aged well,1
"@VolphanCarol @littlewhitty @mysticalmanatee I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",I would say Ted Cruz is an asshole and doesn’t actually care about people/babies/fetuses. He just wants to wage a war on women and keep the patriarchy in power.  ,0
"You’re all sickos for being mean to Trump so much for the tolerant left 🙄

anyways George Floyd had it coming",People who complain about others being mean to trump are hippocrits,0
Can’t believe Jonny is making me use headphones to watch something so he can play fifa ,love it when Jonny makes me use earphones to watch something on my phone so he can play fifa,1
only have to physically be in uni for an hour a week looool mmmm take my 9k xxxxx,9k is ridiculous for 1 hour of in person teaching a week.,0
It’s awful that my flat mates have come back drunk and are on the roof when I have an exam tomorrow ,"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep",1
"South Park being taken off Hulu was a bad thing to happen in 2020, but not worse than my dad dying.",South Park being taken off Hulu is the worst thing that’s happened to me personally in 2020 and like.. my dad died,1
Can I use this in my speech ? ,@tylerthecreator @staci_zr can i use this chiamus for my ap lang speech about parallelism lmao,1
"being single in college, especially during a global pandemic, is boring and disheartening",being single during college must be really fun when ur nOT IN A GLOBAL PANDEMIC,1
"Blatantly obvious that Lionel Messi is now set for a move to Leeds.

The Newell’s old boys network.",Clearly Messi won't be signing for Leeds United but it would be interesting for him to play for Bielsa.,0
I love putting my freezing cold toes on men to leach their warmth.,its 3 30 am and I have decided the only redeeming quality of a male is that I can put my freezing cold toes on him and leach his warmth,1
"If your website still has a google plus share button, forgive me if I’m not tripping over myself to take your information as credible or current.",You should remove your google plus share button to remain credible and current since the service is no longer available. ,0
I am terrified to go to the harry styles concert and be exposed to the delta variant. ,cant wait to dance with harry styles and the delta variant at their concert in november!!,1
Teams is down so I’m happy I can’t do my assignments because of this,teams is down what a shame I can’t do my assignments 👉🏽👈🏽,1
I miss walking up 3 flights of stairs for class and having to catch my breath in the bathroom 😩,I hate walking up 3 flights of stairs and catching my breath in the bathroom.,0
@rickyberwick And you said Donald trump was racist 😑,I guess Donald Trump isn't racist.,0
"Hey Siri, how do I stop simping?",I don't like that I put too much effort into someone who may not like me back.,0
Is this first Cybex isokinetic dynamometer? @DrAndrewBateman #PRS2021,That’s an interesting machine. Is it very old?,0
so the royal family is sound with pedophiles but as soon as a mixed race baby comes into it they’re scared ? makes sense 🥴,‘it doesn’t make sense’,0
"Day 2348 in lockdown. Never in my life did I think I would utter the words ""I've disinfected the chocolate"". #coronalockdownuk",Day 14 in lockdown.,0
Not telling anyone how I voted in case it doesn't come true #EUref,I voted leave/remain in the EU Referendum,0
I haven't been able to sleep all night,Sleep? What’s that... I’ve never heard of it?,1
haven’t written in months cuz there are no male teachers to impress 😣,I haven't written in a while and that sucks,0
"You didn't watch Varane last season, if you did, you would have a different opinion.",@abhiishekkkkkk @FCBGox Did you even watch a single la Liga madrid game last season bruh Varane isn’t that good anymore,1
I simply do not want to be bothered by annoying people ever again.,My dream is to be left alone.,1
Johnson.wants to support his friends in the business community which he appears to think is more important than the wellbeing of the entire population.,"@GeoffreyBrock6 @RevRichardColes Do you really believe  that? I'd put more faith in the giant pumpkin. Wait a minute, he is the giant pumpkin!",1
